"Trade Name (Agent)",Sponsor,"Date of BT Designation Disclosure","Approval Date",Indication,Category,"FDA Status"
Vonapanitase,"Proteon Therapeutics, Inc.",5/10/2017,,"Increasing arteriovenous fistula secondary patency (i.e., survival of the fistula without abandonment) and use for hemodialysis in patients on or expected to initiate hemodialysis",Other,"Designation Granted"
"Rethymic (RVT-802)",Enzyvant,4/14/2017,10/8/2021,"Treatment of pediatric patients with congenital athymia.","Rare Inherited Disorders","FDA Approval"
"Evkeeza (evinacumab-dgnb)","Regeneron Pharmaceuticals, Inc",4/07/2017,2/11/2021,"Homozygous familial hypercholesterolemia (HOFH)","Rare Inherited Disorders","FDA Approval"
"Toca 511 & Toca FC",Tocagen,2/23/2017,,"Recurrent high grade glioma",Cancer,"Designation Granted"
AMT-060,uniQure,1/20/2017,,"Hemophilia B","Rare Inherited Disorders","Designation Granted"
"Neridronic acid","Grünenthal and Abiogen Pharma",12/16/2016,,"Complex regional pain syndrome (CRPS)","Rare Inherited Disorders","Designation Granted"
ABT-530,"AbbVie Inc.",9/30/2016,,"genotype 1 HCV patients who have failed to respond to a previous therapy of direct acting antivirals (or DAAs)","Infectious Disease","Designation Granted"
"Tonmya (TNX-102 SL)","Tonix Pharmaceuticals",12/19/2016,,PTSD,Other,"Designation Granted"
"Imcivree (setmelanotide)","Rhythm Pharmaceutical, Inc.",1/7/2016,11/27/2020,"Pro-opiomelanocortin (POMC) deficiency obesity and obesity associated with genetic defects upstream of the MC4 receptor in the leptin-melanocortin pathway (the MC4 pathway)","Rare Inherited Disorders","FDA Approval"
"Livtencity (Maribavir)","Takeda Pharmaceutical Company Ltd.",1/08/2018,11/23/2021,"Treatment of adults and pediatric patients 12 years of age and older and weighing at least 35 kg with posttransplant cytomegalovirus (CMV) infection/disease that is refractory to treatment (with or without genotypic resistance) with ganciclovir, valganciclovir, cidofovir or foscarnet.","Infectious Disease","FDA Approval"
"Upadacitinib (ABT-494)","AbbVie Inc.",1/09/2018,,"Adult patients with moderate to severe atopic dermatitis who are candidates for systemic therapy",Other,"Designation Granted"
"Lenvima (lenvatinib)","Merck and Eisai",1/09/2018,8/10/2021,"In combination with pembrolizumab for the first-line treatment of adult patients with advanced renal cell carcinoma (RCC).",Cancer,"FDA Approval"
"Avelumab in combination with Inlyta (axitinib)","EMD Serono and Pfizer",12/21/2017,,"Treatment-naïve patients with advanced renal cell carcinoma (RCC)",Cancer,"Designation Granted"
Monjuvi,MorpoSys,10/23/2017,7/31/2020,"Relapsed/Refractory DLBCL who are not eligible for high-dose chemotherapy and autologous stem-cell transplantation",Cancer,"FDA Approval"
"Valoctocogene Roxaparvovec",BioMarin,10/26/2017,,"Hemophilia A","Rare Inherited Disorders","Designation Granted"
DAS181,"Ansun BioPharma",10/10/2017,,"Treatment of lower respiratory tract parainfluenza virus (PIV) infection in immunocompromised patients","Infectious Disease","Designation Granted"
EB-101,"Abeona Therapeutics Inc",8/30/2017,,"Recessive Dystrophic Epidermolysis Bullosa (RDEB)",Other,"Designation Granted"
"Methylenedioxymethamphetamine (MDMA)",MAPS,8/28/2017,,PTSD,Other,"Designation Granted"
Venetoclax,Abbvie/Roche,8/01/2017,,"Elderly patients with previously untreated Acute Myeloid Leukemia (AML) who are ineligible for intensive chemotherapy",Cancer,"Designation Granted"
Acalabrutinib,AstraZeneca,8/01/2017,,"Mantle cell lymphoma for patients who have received at least one prior line of therapy",Cancer,"Designation Granted"
"Elbit Imaging","Gamida Cell",10/10/2016,,Nicord,Cancer,"Designation Granted"
"Alecensa (alectinib)",Roche,10/04/2016,,"Adult patients with advanced ALK-positive non-small cell lung cancer (NSCLC) who have not received prior treatment with an ALK inhibitor",Cancer,"Designation Granted"
Serelaxin ,Novartis,6/21/2013,,"Acute heart failure",Cardiovascular,"Designation Granted"
Drisapersen,GlaxoSmithKline/Prosensa,6/27/2013,,"Duchenne muscular dystrophy (DMD)","Rare Inherited Disorders","Designation Granted"
"BYM338 (Bimagrumab)",Novartis,8/20/2013,,"Sporadic inclusion body myositis (sIBM)",Other,"Designation Granted"
Entinostat,Syndax,9/11/2013,,"ER-positive metastatic breast cancer combination",Cancer,"Designation Granted"
Volasertib,"Boehringer Ingelheim",9/17/2013,,"AML combination therapy",Cancer,"Designation Granted"
Grazoprevir/Elbasvir,Merck,10/22/2013,,"Hepatitis C","Infectious Disease","Designation Rescinded"
"cPMP (ALXN1011)","Alexion Pharmaceuticals Inc.",10/24/2013,,"Molybdenum cofactor deficiency (MoCD) type A","Rare Inherited Disorders","Designation Granted"
Dabrafenib,GlaxoSmithKline,1/13/2014,,"NSCLC w/ BRAF mutation",Cancer,"Designation Granted"
Esketamine,J&J,1/21/2014,,"Treatment resistant depression",Other,"Designation Granted"
"Daclatasvir/asunaprevir combination",BMS,2/24/2014,,"Hepatitis C","Infectious Disease","Designation Rescinded"
"LIVMARLI (maralixibat)",Shire,6/13/2016,9/29/2021,"Progressive familial intrahepatic cholestasis type 2 (PFIC2)","Rare Inherited Disorders","FDA Approval"
SD101,Scioderm,4/29/2013,,"Epidermolysis bullosa",Other,"Designation Granted"
Daclatasvir,BMS,4/25/2013,,"Hepatitis C combination therapy","Infectious Disease","Designation Granted"
SL-401,"Stemline Therapeutics",8/23/2016,,"Treatment of blastic plasmacytoid dendritic cell neoplasm (BPDCN) targeting the interleukin-3 receptor (CD123)","Rare Inherited Disorders","Designation Granted"
Esketamine,Janssen,8/16/2016,7/31/2020,"Major depressive disorder with imminent risk for suicide",Other,"FDA Approval"
Pracinostat,"MEI Pharma",8/01/2016,,"In combination with azacitidine of patients with newly diagnosed acute myeloid leukemia unfit for intensive chemotherapy",Cancer,"Designation Granted"
V920,Merck,7/25/2016,,"Ebola Zaire","Infectious Disease","Designation Granted"
SPK-9001,Pfizer/Spark,7/21/2016,,"Hemophilia B.","Rare Inherited Disorders","Designation Granted"
"Ivacaftor (Kalydeco)",Vertex,2014,12/29/2014,"CF monotherapy, patients 6 years or older with R117H mutationin CFTR gene","Rare Inherited Disorders","FDA Approval"
"Ivacaftor (Kalydeco)",Vertex,2014,3/17/2015,"CF monotherapy, patients 2 years and older with one of the following CFTR gene mutations: G551D, G1244E, G1349D, G178R, G551S, S1251N, S1255P, S549N, S549R, R117H","Rare Inherited Disorders","FDA Approval"
"SHP621 (budesonide oral suspension, or BOS)",Shire,6/13/2016,,"Eosinophilic esophagitis (EoE)","Rare Inherited Disorders","Designation Granted"
PVS-RIPO,"Duke Medicine",5/15/2016,,"Recurrent glioblastoma multiforme (GBM)",Cancer,"Designation Granted"
"Ivacaftor (Kalydeco)",Vertex,12/15/2012,,"CF combination therapy","Rare Inherited Disorders","Designation Granted"
"Imbruvica (ibrutinib)","Pharmacyclics LLC",2/12/2013,11/13/2013,"Patients with mantle cell lymphoma (MCL)",Cancer,"FDA Approval"
"Kalydeco (ivacaftor)","Vertex Pharmaceuticals Inc.",2013,2/21/2014,"Patients age 6 years and older with cystic fibrosis who have mutations in the CTFR gene","Rare Inherited Disorders","FDA Approval"
"Bexsero (Meningococcal Group B Vaccine)","Novartis Vaccines and Diagnostics, Inc.",4/07/2014,1/23/2015,"Active immunization to prevent invasive meningococcal disease caused by N. meningitidis serogroup B in individuals 10 through 25 years of age","Infectious Disease","FDA Approval"
"Trumenba (Meningococcal Group B Vaccine)","Pfizer Inc.",3/20/2014,10/29/2014,"Active immunization to prevent invasive meningococcal disease caused by N. meningitidis serogroup B in individuals 10 through 25 years of age","Infectious Disease","FDA Approval"
"Kisqali (ribociclib)","Novartis Pharmaceuticals Corp.",6/20/2018,7/18/2018,"In combination with fulvestrant for postmenopausal women with HR-positive, HER2-negative advanced or metastatic breast cancer, as initial endocrine-based therapy or following disease progression on endocrine therapy",Cancer,"FDA Approval"
AMT-601,"uniQure N.V.",6/28/2018,,"Patients with severe and moderately severe hemophilia B","Rare Inherited Disorders","Designation Granted"
"Zemdri (plazomicin)",Achaogen,5/23/2017,,"Antibacterials addressing multi-drug resistant (MDR) gram-negative infections",Other,"Designation Rescinded"
HTX-011,"Heron Therapeutics, Inc.",6/21/2018,,"Postoperative Pain Management",Other,"Designation Granted"
"Venclexta (venetoclax) + Rituximab","AbbVie Inc. and Genentech Inc.",1/20/2016,6/08/2018,"Patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL), with or without 17p deletion, who have received at least one prior therapy",Cancer,"FDA Approval"
"Xalkori (crizotinib)","Pfizer Inc.",5/29/2018,1/14/2021,"Patients with relapsed or refractory systemic anaplastic large cell lymphoma that is anaplastic lymphoma kinase-positive",Cancer,"FDA Approval"
"Xalkori (crizotinib)","Pfizer Inc.",5/29/2018,,"Patients with metastatic non-small cell lung cancer with MET exon 14 alterations with disease progression on or after platinum-based chemotherapy",Cancer,"Designation Granted"
Tafamidis,"Pfizer Inc.",5/23/2018,,"Transthyretin Cardiomyopathy (ATTR-ACT)",Cardiovascular,"Designation Granted"
Lenti-D,"Bluebird bio Inc.",5/23/2018,,"Cerebral adrenoleukodystrophy","Rare Inherited Disorders","Designation Granted"
Pitolisant,"Harmony Biosciences",5/21/2018,,"Excessive daytime sleepiness and cataplexy in patients with narcolepsy",Other,"Designation Granted"
Quizartinib,"Daiichi Sankyo Company, Limited",8/01/2018,,"Adult patients with relapsed/refractory FLT3-ITD acute myeloid leukemia (AML)",Cancer,"Designation Granted"
"Verzenio (abemaciclib)","Eli Lilly and Co.",10/08/2015,2/26/2018,"Adult patients with HR-positive, HER2-negative advanced or metastatic breast cancer in combination with an aromatase inhibitor as initial endocrine-based therapy",Cancer,"FDA Approval"
"Enjaymo (sutimlimab-jome)","Bioverativ Inc.",3/06/2018,2/4/2022,"Indicated to decrease the need for red blood cell (RBC) transfusion due to hemolysis in adults with cold agglutinin disease (CAD).",Other,"FDA Approval"
GC4419,"Galera Therapeutics",2/28/2018,,"Reduction of the duration, severity, and incidence of severe oral mucositis induced by radiation therapy",Other,"Designation Granted"
"Advantage Arrest™ Silver Diamine Fluoride 38%","Elevate Oral Care",11/03/2016,,"Arrest of tooth decay in children and adults",Other,"Designation Granted"
Larotrectinib,"Loxo Oncology, Inc.",7/13/2016,,"Unresectable or metastatic solid tumors with NTRK-fusion proteins in adult and pediatric patients who require systemic therapy and who have either progressed following prior treatment or who have no acceptable alternative treatments",Cancer,"Designation Granted"
"Nuplazid (pimavanserin)","Acadia Pharmaceuticals Inc.",2017,,"Patients with dementia-related psychosis (DRP)",Other,"Designation Granted"
PF-04965842,"Pfizer Inc.",2/14/2018,,"Patients with moderate-to-severe atopic dermatitis (AD)",Other,"Designation Granted"
SAGE-217,"Sage Therapeutics",2/07/2018,,"Patients with major depressive disorder (MDD)",Other,"Designation Granted"
"ZX008 (fenfluramine)","Zogenix, Inc.",2/06/2018,,"Patients who have seizures associated with Dravet syndrome",Other,"Designation Granted"
"Korsuva (difelikefalin)","Cara Therapeutics Inc.",6/22/2017,8/23/2021,"Treatment of moderate-to-severe pruritus associated with chronic kidney disease (CKD-aP) in adults undergoing hemodialysis (HD).",Other,"FDA Approval"
"Kymriah (CTL019)",Novartis,4/18/2017,,"Adult patients with relapsed and refractory diffuse large B-cell lymphoma, who have failed two or more prior therapies",Cancer,"Designation Granted"
"Balovaptan (RG7314)","Hoffman-La Roche Inc.",1/28/2018,,"A vasopressin 1a (V1a) receptor antagonist for patients with autism spectrum disorder (ASD)",Other,"Designation Granted"
"Trastuzumab Deruxtecan (DS-8201)","Daiichi Sankyo",8/29/2017,,"HER2-positive, locally advanced, or metastatic breast cancer who have been treated with trastuzumab (Herceptin) and pertuzumab (Perjeta) and have disease progression after ado-trastuzumab emtansine (T-DM1; Kadcyla)",Cancer,"Designation Granted"
"Oxlumo (lumasiran)","Alnylam Pharmaceuticals Inc.",3/12/2018,11/23/2020,"Primary Hyperoxaluria Type 1 (PH1)","Infectious Disease","FDA Approval"
"Kymriah (tisagenlecleucel)","Novartis Pharmaceutical Corp.",4/18/2017,5/1/2018,"Treatment of adults with relapsed/refractory diffuse large B-cell lymphoma (DLBCL).",Cancer,"FDA Approval"
"Trumenba (Meningococcal Group B Vaccine)","Pfizer Inc.",4/23/2018,,"Active immunization to prevent invasive meningococcal disease caused by N. meningitidis serogroup B in individuals 1 through 9 years of age",,"Designation Granted"
OMS721,"Omeros Corporation",4/26/2018,,"Patients with high-risk hematopoietic stem cell transplant-associated thrombotic microangiopathy (HSCT-TMA), specifically those patents who have persistent TMA despite modification of immunosupressive therapy",Other,"Designation Granted"
"Ribaxamase (SYN-004)","Synthetic Biologics, Inc.",5/11/2017,,"prevention of Clostridium difficile infection","Infectious Disease","Designation Rescinded"
Ketamine,"Johnson & Johnson",4/16/2018,,"Patients with depression",Other,"Designation Granted"
SPK-8011,"Spark Therapeutics Inc.",2/15/2018,,"Patients with hemophilia A.","Rare Inherited Disorders","Designation Granted"
"Pedmark (sodium thiosulfate)","Fennec Pharmaceuticals Inc.",3/27/2018,,"Prevention of cisplatin-related ototoxicity in pediatric patients with standard risk hepatoblastoma (SR-HB)",Other,"Designation Granted"
"ALIS (amikacin liposome inhalation suspension)","Insmed Inc.",3/29/2018,,"Adult patients with nontuberculous mycobacterial lung disease caused by Mycobacterium avium complex",Other,"Designation Granted"
bb2121,"Bristol Myers Squibb and Bluebird Bio",11/04/2017,,"Patients with relapsed or refractory multiple myeloma",Cancer,"Designation Granted"
tab-cel,"Altara Biotherapeutics Inc.",2/15/2015,,"Patients with EBV+ PTLD following allogeneic hematopoietic stem cell transplant",Other,"Designation Granted"
PTI-428,"Proteostasis Therapeutics",3/16/2018,,"Cystic Fibrosis for patients with two copies of the F508del mutation — one from their mother and one from their father — who are receiving Vertex’s Orkambi (lumacaftor/ivacaftor)","Rare Inherited Disorders","Designation Granted"
"Ibrance (palbociclib)","Pfizer Inc.",2016,2/19/2016,"Patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced metastatic breast cancer in combination with fulvestrant in women with disease progression following endocrine therapy",Cancer,"FDA Approval"
"Keytruda (pembrolizumab)","Merck Sharp & Dohme Corp.",4/24/2013,12/18/2015,"Patients with unresectable or metastatic melanoma",Cancer,"FDA Approval"
"Opdivo (nivolumab)","Bristol-Myers Squibb Company",9/02/2015,10/09/2015,"Patients with metastatic non-squamous non-small cell lung cancer (NSCLC) with progression on or after platinum-based chemotherapy",Cancer,"FDA Approval"
"Opdivo (nivolumab)","Bristol-Myers Squibb Company",9/26/2014,12/22/2014,"Patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600+, a BRAF inhibitor",Cancer,"FDA Approval"
"Kymriah (tisagenlecleucel)","Novartis Pharmaceuticals Corp.",7/07/2014,8/30/2017,"Pediatric and young adult patients (age 3-25 years) with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse",Cancer,"FDA Approval"
"Yescarta (axicabtagene ciloleucel)","Kite Pharma Inc.",12/07/2015,10/18/2017,"Adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy",Cancer,"FDA Approval"
"Rapamune (sirolimus)","PF Prism CV",2015,5/28/2015,"Patients with lymphangioleiomyomatosis (LAM)",Other,"FDA Approval"
"Xalkori (crizotinib)","PF Prism CV",4/21/2015,3/11/2016,"Patients with non-small cell lung cancer whose tumors are ROS-1 positive",Cancer,"FDA Approval"
"Zykadia (ceritinib)","Novartis Pharmaceuticals Corp.",3/15/2013,4/29/2014,"Patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib",Cancer,"FDA Approval"
"Imbruvica (ibrutinib)","Pharmacyclics LLC",2/12/2013,1/29/2015,"Patients with Waldenstrom's macroglobulinemia (WM)",Cancer,"FDA Approval"
"Breyanzi (Lisocabtagene maraleucel)","Juno Therapeutics/Celgene",12/20/2016,2/05/2021,"Relapsed/refractory (r/r) aggressive large B-cell NHL, including diffuse large B-cell lymphoma (DLBCL), not otherwise specified (de novo or transformed from indolent lymphoma), Primary Mediastinal B-cell Lymphoma (PMBCL) or Grade 3B Follicular Lymphoma",Cancer,"FDA Approval"
"Promacta (eltrombopag)","Novartis Pharmaceuticals Corp.",11/16/2018,,"Low platelet counts in people exposed to radiation",Other,"Designation Granted"
NGX-101,NeuroRx,11/13/2018,,"Severe Bipolar Depression with Acute Suicidal Ideation & Behavior (ASIB) after initial stabilization with ketamine or other effective therapy",Other,"Designation Granted"
"Xolair (omalizumab)","Genentech, Inc.",8/13/2018,9/28/2018,"Prevention of severe allergic reactions following accidental exposure to one or more foods in people with allergies",Other,"FDA Approval"
"Andexxa (andexanet alfa)","Portola Pharmaceuticals, Inc.",11/25/2013,5/03/2018,"patients treated with rivaroxaban and apixaban, when reversal of anticoagulation is needed due to life-threatening or uncontrolled bleeding",Cardiovascular,"FDA Approval"
"Olipudase Alfa",Sanofi/Genzyme,11/29/2018,,"Niemann-Pick disease Type B (NPB)","Rare Inherited Disorders","Designation Granted"
lonafarnib,"Eiger BioPharmaceuticals",11/19/2018,11/20/2020,"Patients with Hutchinson-Gilford progeria syndrome (HGPS_","Rare Inherited Disorders","FDA Approval"
MEDI8897,AstraZeneca,2/06/2019,,"Prevention of lower respiratory tract infection (LRTI) caused by respiratory syncytial virus (RSV)",Other,"Designation Granted"
"Vaxneuvance (V114)","Merck & Co., Inc.",1/28/2019,7/16/2021,"Prevention of invasive pneumococcal disease in adults 18 years and older caused by 15 serotypes.","Infectious Disease","FDA Approval"
"UKONIQ (umbralisib)","TG Therapeutics",1/28/2019,2/05/2021,"Adult patients with marginal zone lymphoma (MZL) who did not respond to at least one anti-CD20 therapy",Cancer,"FDA Approval"
CP101,"Finch Therapeutics Group, Inc.",2/09/2019,,"Patients with recurrent Clostridium difficile infection","Infectious Disease","Designation Granted"
"AT-GAA (ATB200 + AT2221)","Amicus Therapeutics",2/26/2019,,"Patients with late onset Pompe disease","Rare Inherited Disorders","Designation Granted"
"Psilocybin therapy","COMPASS Pathways",10/23/2018,,"Treatment-resistant Depression",Other,"Designation Granted"
Myrcludex,"MYR Pharma",10/23/2018,,"Chronic hepatitis delta (HDV) infection","Infectious Disease","Designation Granted"
LOXO-292,"Loxo Oncology, Inc.",10/16/2018,,"Patients with advanced RET fusion-positive thyroid cancer who require systemic therapy, have progressed following prior treatment, and have no acceptable alternative treatment options",Cancer,"Designation Granted"
"Poteligeo (mogamulizumab-kpkc)","Kyowa Kirin, Inc.",10/25/2017,8/08/2018,"Adult patients Sézary syndrome (SS) after at least one prior systemic therapy",Cancer,"FDA Approval"
"Danyelza (naxitamab-gqgk)","Y-mAbs Therapeutics, Inc.",8/23/2018,11/25/2020,"In combination with GM-CSF for patients with high risk neuroblastoma refractory to initial therapy or with incomplete response to salvage therapy in patients older than 12 months of age with persistent, refractory disease limited to bone marrow",Cancer,"FDA Approval"
LOXO-292,"Loxo Oncology, Inc.",9/05/2018,,"Patients with metastatic RET-fusion-positive non-small cell lung cancer; patients with RET-mutant medullary thyroid cancer",Cancer,"Designation Granted"
PF-06651600,"Pfizer Inc.",9/06/2018,,"Patients with alopecia areata",Other,"Designation Granted"
Tezepelumab,"AstraZeneca & Amgen Inc.",9/07/2018,,"Patients with severe asthma, without an eosinophilic phenotype, who are receiving inhaled corticosteroids/long-acting beta2-agonists with or without oral corticosteroids and additional asthma controllers",Other,"Designation Granted"
CA-008,"Concentric Analgesics, Inc.",9/11/2018,,"Patients needing long-lasting, non-opioid pain relief",Other,"Designation Granted"
"Prevnar 20 (PF-06482077)","Pfizer, Inc.",9/20/2018,6/08/2021,"Prevention of pneumonia and invasive disease caused by Streptococcus pneumoniae serotypes","Infectious Disease","FDA Approval"
"Luxturna (voretigene neparvovec-rzyl)","Spark Therapeutics Inc.",9/24/2014,12/19/2017,"Patients with confirmed biallelic RPE65 mutation-associated retinal dystrophy","Rare Inherited Disorders","FDA Approval"
"Rubraca (rucaparib)","Clovis Oncology",10/03/2018,,"BRCA1/BRCA2-mutated, metastatic, castration-resistant prostate cancer",Cancer,"Designation Granted"
"Hemlibra (emicizumab-kxwh)","Genentech Inc.",4/17/2018,10/04/2018,"Patients with hemophilia A without factor VIII inhibitors","Rare Inherited Disorders","FDA Approval"
"Rezurock (belumosudil)","Kadmon Holdings, Inc.",10/17/2018,7/16/2021,"Patients with chronic graft-versus-host disease (cGVHD) after failure of two or more lines of systemic therapy",Other,"FDA Approval"
"Braftovi (encorafenib) + Mektovi (binimetinib) + Erbitux (cetuximab)","Array BioPharma and Eli Lilly and Co.",8/07/2018,,"Patients with BRAF V600E-mutation metastatic colorectal caner following 1 or 2 prior lines of treatment in the metastatic setting",Cancer,"Designation Granted"
seladelpar,"CymaBay Therapeutics",2/20/2019,,"Patients with early stage primary biliary cholangitis (PBC), in combination with ursodeoxycholic acid (UDCA)",Other,"Designation Granted"
Avexitide,"Eiger BioPharmaceuticals, Inc.",6/17/2019,,"Post-bariatric hypoglycemia (PBH)",Other,"Designation Granted"
DCR-PHXC,"Dicerna Pharmaceuticals",7/15/2019,,"Primary hyperoxaluria type 1 (caused by a mutation in the AGXT gene)",Other,"Designation Granted"
"Peginterferon Lambda","Eiger Pharmaceuticals",8/20/2019,,"Hepatitis delta virus (HDV) infection","Infectious Disease","Designation Granted"
"NKTR-214 (bempegaldesleukin) with Opdivo (nivolumab)","Nektar Therapeutics",8/23/2019,,"Untreated melanoma patients with either metastatic disease or who are unable to undergo surgery",Cancer,"Designation Granted"
Nirogacestat,"SpringWorks Therapeutics, Inc.",8/29/2019,,"Adult patients with progressive, unresectable, recurrent or refractory desmoid tumors or deep fibromatosis",Cancer,"Designation Granted"
"Tepotinib (Tepmetko)",Merck,9/11/2019,2/03/2021,"Patients with metastatic non-small cell lung cancer (NSCLC) harboring a MET exon 14 skipping alteration who have progressed following platinum-based chemotherapy",Cancer,"FDA Approval"
"Cotellic (cobimetinib)","Memorial Sloan Kettering Cancer Center",10/03/2019,,"Adult patients with histiocytic neoplasms who do not harbor a BRAF V600 mutation","Rare Inherited Disorders","Designation Granted"
"Zejula (niraparib)","Janssen Pharmaceutica",10/03/2019,,"Patients with BRCA1/2-mutated metastatic castration-resistant prostate cancer (CRPC) who have previously received taxane chemotherapy and androgen receptor (AR)–targeted therapy",Cancer,"Designation Granted"
"Trikafta (elexacaftor/ivacaftor/tezacaftor)","Vertex Pharmaceuticals Inc.",5/01/2018,10/21/2019,"Patients 12 years and older with cystic fibrosis who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene","Rare Inherited Disorders","FDA Approval"
"Givlaari (givosiran)","Alnylam Pharmaceuticals Inc.",5/30/2017,11/20/2019,"Adult patients with acute hepatic porphyria (AHP)","Rare Inherited Disorders","FDA Approval"
"Jakafi (Ruxolitinib)",Incyte,6/23/2016,5/28/2019,"Patients aged 12 years and older with steroid-refractory acute graft versus-host disease (GVHD)",Other,"FDA Approval"
"Aliqopa (copanlisib)",Bayer,5/30/2019,,"Adults patients with relapsed marginal zone lymphoma (MZL) who have received at least 2 prior therapies",Cancer,"Designation Granted"
